airport code,airport,lat,lon,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,
ATL,Atlanta International,33.64,-84.43,3386637,3272137,4129573,3929355,4245390,4207972,4306188,4212111,3752623,4126336,3764889,3928011,3530955,3409301,1923568,174973,364012,723441,1149414,1361596,1438217,1625607,1563807,1607949,1466718,
DFW,Dallas/Fort Worth International,32.9,-97.04,2262602,2144479,2551711,2430865,2769693,2816069,2927073,2810899,2561346,2670063,2523194,2672173,2400320,2340608,1370671,190037,594573,994818,1455106,1434647,1513376,1693117,1473157,1492398,1315547,
DEN,Denver International,39.86,-104.67,2267820,2122165,2535659,2459027,2810897,2939341,3121518,2990450,2797510,2849983,2474428,2652061,2394508,2256731,1335116,122086,386303,835040,1230189,1424556,1383318,1586440,1355782,1465707,1324424,
ORD,Chicago O'Hare International,41.98,-87.9,2143700,2195241,2866758,2706090,3043845,3183920,3244314,3162591,2836512,3096915,2714177,2859598,2318832,2314761,1343059,120249,294993,533781,898503,974682,1010069,1135100,939961,975371,807614,
CLT,Charlotte Douglas International,35.21,-80.94,1683377,1625155,1932002,1848367,1964167,1886002,1923281,1902327,1819433,2009338,1854650,1968658,1874760,1756567,1018795,137466,457608,736859,935497,979893,1107910,1295932,1057440,1061230,958963,
LAX,Los Angeles International,33.94,-118.41,2262419,2098419,2616654,2503617,2631909,2795686,2891023,2793439,2390929,2466980,2386390,2593110,2259622,2088740,1188184,112597,245960,439967,656311,727836,736771,856937,830771,775272,652770,
LAS,McCarran International,36.08,-115.15,1728844,1582745,1937864,1889254,2012622,1956955,1988009,1936554,1909159,2020225,1838198,1855019,1852351,1717700,964434,59839,190282,468238,751283,816420,796432,912251,863404,741028,725713,
PHX,Phoenix Sky Harbor International,33.43,-112.01,1662973,1623757,2076643,1875574,1876176,1790688,1752896,1693187,1604042,1787063,1702726,1929099,1742057,1736923,1100285,123474,275042,534552,635784,654589,742448,875791,840033,857773,785225,
MCO,Orlando International,28.43,-81.31,1736173,1630173,2004621,1817447,1850133,1781048,1849011,1750283,1291486,1702845,1775773,1915935,1890191,1835421,1153440,66502,166963,403237,564198,534934,541066,738277,845778,947618,940831,
SEA,Seattle Tacoma International,47.45,-122.31,1497009,1363151,1770565,1695670,1895961,2108587,2272943,2291950,1905340,1849384,1678631,1880207,1583491,1538456,768164,98543,250008,494893,664337,718918,680299,728354,636265,637723,568132,
